h3_index,cate_mean,cate_median,cate_std,avg_traffic,avg_baseline_risk,total_crashes
882a100d69fffff,0.013775491511186691,0.0033800970749111627,0.09945897641709955,218.39329608938547,0.0206703910614525,20
882a1008d1fffff,0.004873744677134938,0.002973513451879104,0.019971514314027678,4.6177046611829216,0.03145319232275752,23
882a100d65fffff,0.0048488325764106995,0.001781017267797145,0.06906922790301633,150.90300230946883,0.03708347080171558,22
882a100ab5fffff,0.004245120798898922,0.0032705050791002627,0.011202526971190778,2.462267728479332,0.03083048919226391,34
882a1008d9fffff,0.004147278501390599,0.0028711932681331105,0.009337019531767627,4.505287896592244,0.03787700744222481,34
882a100d2dfffff,0.00392312054272985,0.0020953213667379966,0.06464792747428784,152.5695754716981,0.043042452830188656,37
882a100aabfffff,0.0036520047144465765,0.003034756815034194,0.012277853433447568,2.5330261136712746,0.013240590055106171,9
882a1072cbfffff,0.0036472698861418637,0.0024050389091268658,0.037600816386101465,52.18727490996399,0.05286114445778309,39
882a1008dbfffff,0.0035668807705742205,0.0027765793644714144,0.01218791854580138,4.517605633802816,0.025669448791514497,29
882a100aa9fffff,0.003399237254062101,0.0028749789228957635,0.009234596762636075,1.8162062615101287,0.022571459523035714,20
882a100ab7fffff,0.003377410119819931,0.0028942050478928463,0.013066988242050919,2.490218642117376,0.027504005054265642,20
882a100d37fffff,0.003318449789711936,0.002169941554689291,0.01388160846588937,4.253131524008351,0.023208072372999284,26
882a100d01fffff,0.003307351721521948,0.002948855209457594,0.010165924936036198,2.1159582401193138,0.007568978374347494,4
882a107299fffff,0.0032863726454141562,0.0021643152473665404,0.010987448335061507,1.8148809523809524,0.031238117041688444,24
882a100d61fffff,0.0032135844693386897,0.00294839981723,0.03983652453673672,107.32191780821918,0.03202054794520546,26
882a100aa3fffff,0.003208470817689979,0.0022551234831092604,0.01144611935307411,2.8502277904328017,0.028929384965831414,28
882a100d09fffff,0.003208221196865564,0.002997214636593408,0.004466205601116717,2.01350857977364,0.011683096020445406,11
882a1072c9fffff,0.003076911321229023,0.0024280283533318087,0.0077781934372613375,32.00058411214953,0.023169781931464156,17
882a100ae7fffff,0.003076842938931822,0.00275078732772149,0.005140827174205569,1.7712565838976673,0.022595309756709286,19
882a100d0bfffff,0.003005238977950419,0.002725389821940762,0.006124793919423495,2.081264108352144,0.006320541760722341,10
882a1072d3fffff,0.0029260781991977693,0.0019192333671206978,0.006799350392965055,4.292737430167597,0.03534450651769085,30
882a100f1bfffff,0.0028433929649186534,0.002376745867076032,0.005513192309275636,4.189044943820225,0.018352059925093617,19
